work_year,experience_level,salary_in_usd,country,experience_level
2020,SE,47899,Greece,"Senior-level / Expert"
2020,MI,20000,Honduras,"Mid-level / Intermediate"
2020,MI,35735,Hungary,"Mid-level / Intermediate"
2022,EN,18442,India,"Entry-level / Junior"
2022,MI,31615,India,"Mid-level / Intermediate"
2022,MI,18442,India,"Mid-level / Intermediate"
2022,EX,79039,India,"Executive-level / Director"
2021,SE,94665,India,"Senior-level / Expert"
2021,SE,66265,India,"Senior-level / Expert"
2021,MI,16904,India,"Mid-level / Intermediate"
2021,EN,28399,India,"Entry-level / Junior"
2021,EN,21637,India,"Entry-level / Junior"
2021,EN,16228,India,"Entry-level / Junior"
2021,MI,33808,India,"Mid-level / Intermediate"
2021,SE,24342,India,"Senior-level / Expert"
2021,MI,22611,India,"Mid-level / Intermediate"
2021,SE,40570,India,"Senior-level / Expert"
2021,EN,20000,India,"Entry-level / Junior"
2021,MI,9466,India,"Mid-level / Intermediate"
2021,EN,30428,India,"Entry-level / Junior"
2021,EN,29751,India,"Entry-level / Junior"
2021,MI,19609,India,"Mid-level / Intermediate"
2021,MI,5409,India,"Mid-level / Intermediate"
2020,EN,6072,India,"Entry-level / Junior"
2020,MI,6072,India,"Mid-level / Intermediate"
2020,EN,5707,India,"Entry-level / Junior"
2020,MI,40481,India,"Mid-level / Intermediate"
2021,MI,4000,"Iran, Islamic Republic of","Mid-level / Intermediate"
2021,EN,100000,Iraq,"Entry-level / Junior"
2022,SE,71444,Ireland,"Senior-level / Expert"
2021,MI,119059,Israel,"Mid-level / Intermediate"
2021,MI,51064,Italy,"Mid-level / Intermediate"
2020,EN,21669,Italy,"Entry-level / Junior"
2021,MI,74000,Japan,"Mid-level / Intermediate"
2021,SE,168000,Japan,"Senior-level / Expert"
2021,MI,77364,Japan,"Mid-level / Intermediate"
2021,MI,63711,Japan,"Mid-level / Intermediate"
2020,EN,41689,Japan,"Entry-level / Junior"
2020,SE,260000,Japan,"Senior-level / Expert"
2021,EN,9272,Kenya,"Entry-level / Junior"
2022,EN,10000,Luxembourg,"Entry-level / Junior"
2021,EN,59102,Luxembourg,"Entry-level / Junior"
2020,MI,62726,Luxembourg,"Mid-level / Intermediate"
2022,EN,40000,Malaysia,"Entry-level / Junior"
2021,MI,28369,Malta,"Mid-level / Intermediate"
2022,SE,60000,Mexico,"Senior-level / Expert"
2021,MI,2859,Mexico,"Mid-level / Intermediate"
2020,SE,33511,Mexico,"Senior-level / Expert"
2021,MI,18000,"Moldova, Republic of","Mid-level / Intermediate"
2022,SE,62651,Netherlands,"Senior-level / Expert"
2021,MI,69741,Netherlands,"Mid-level / Intermediate"
2021,MI,45391,Netherlands,"Mid-level / Intermediate"
2020,EN,42000,Netherlands,"Entry-level / Junior"
2020,SE,125000,"New Zealand","Senior-level / Expert"
2021,MI,50000,Nigeria,"Mid-level / Intermediate"
2020,EN,10000,Nigeria,"Entry-level / Junior"
2022,EN,20000,Pakistan,"Entry-level / Junior"
2021,MI,12000,Pakistan,"Mid-level / Intermediate"
2020,MI,8000,Pakistan,"Mid-level / Intermediate"
2022,MI,35590,Poland,"Mid-level / Intermediate"
2021,MI,46597,Poland,"Mid-level / Intermediate"
2021,MI,28476,Poland,"Mid-level / Intermediate"
2021,EX,153667,Poland,"Executive-level / Director"
2022,MI,58255,Portugal,"Mid-level / Intermediate"
2022,EN,21983,Portugal,"Entry-level / Junior"
2021,SE,60757,Portugal,"Senior-level / Expert"
2020,MI,50180,Portugal,"Mid-level / Intermediate"
2021,MI,60000,Romania,"Mid-level / Intermediate"
2021,EX,85000,"Russian Federation","Executive-level / Director"
2021,EX,230000,"Russian Federation","Executive-level / Director"
2021,MI,89294,Singapore,"Mid-level / Intermediate"
2021,SE,102839,Slovenia,"Senior-level / Expert"
2021,MI,24823,Slovenia,"Mid-level / Intermediate"
2022,MI,65949,Spain,"Mid-level / Intermediate"
2022,MI,76940,Spain,"Mid-level / Intermediate"
2022,MI,87932,Spain,"Mid-level / Intermediate"
2022,MI,32974,Spain,"Mid-level / Intermediate"
2022,MI,43966,Spain,"Mid-level / Intermediate"
2022,MI,49461,Spain,"Mid-level / Intermediate"
2021,SE,55000,Spain,"Senior-level / Expert"
2021,MI,46809,Spain,"Mid-level / Intermediate"
2021,MI,37825,Spain,"Mid-level / Intermediate"
2021,EX,69741,Spain,"Executive-level / Director"
2021,EN,10354,Spain,"Entry-level / Junior"
2021,MI,47282,Spain,"Mid-level / Intermediate"
2020,MI,38776,Spain,"Mid-level / Intermediate"
2020,EX,79833,Spain,"Executive-level / Director"
2022,MI,122346,Switzerland,"Mid-level / Intermediate"
2021,EN,5882,Switzerland,"Entry-level / Junior"
2021,SE,20171,Turkey,"Senior-level / Expert"
2021,MI,28016,Turkey,"Mid-level / Intermediate"
2021,MI,12103,Turkey,"Mid-level / Intermediate"
2021,EN,13400,Ukraine,"Entry-level / Junior"
2022,SE,65000,"United Arab Emirates","Senior-level / Expert"
2022,SE,120000,"United Arab Emirates","Senior-level / Expert"
2020,MI,115000,"United Arab Emirates","Mid-level / Intermediate"
2022,MI,45807,"United Kingdom","Mid-level / Intermediate"
2022,MI,65438,"United Kingdom","Mid-level / Intermediate"
2022,MI,91614,"United Kingdom","Mid-level / Intermediate"
2022,MI,183228,"United Kingdom","Mid-level / Intermediate"
2022,MI,78526,"United Kingdom","Mid-level / Intermediate"
2022,MI,98158,"United Kingdom","Mid-level / Intermediate"
2022,MI,91614,"United Kingdom","Mid-level / Intermediate"
2022,MI,104702,"United Kingdom","Mid-level / Intermediate"
2022,MI,39263,"United Kingdom","Mid-level / Intermediate"
2022,MI,58894,"United Kingdom","Mid-level / Intermediate"
2022,MI,78526,"United Kingdom","Mid-level / Intermediate"
2022,MI,45807,"United Kingdom","Mid-level / Intermediate"
2022,MI,71982,"United Kingdom","Mid-level / Intermediate"
2022,MI,52351,"United Kingdom","Mid-level / Intermediate"
2022,MI,98158,"United Kingdom","Mid-level / Intermediate"
2022,MI,117789,"United Kingdom","Mid-level / Intermediate"
2022,MI,98158,"United Kingdom","Mid-level / Intermediate"
2022,MI,124333,"United Kingdom","Mid-level / Intermediate"
2022,EN,37300,"United Kingdom","Entry-level / Junior"
2022,SE,65438,"United Kingdom","Senior-level / Expert"
2022,SE,78526,"United Kingdom","Senior-level / Expert"
2022,EN,45807,"United Kingdom","Entry-level / Junior"
2022,MI,52351,"United Kingdom","Mid-level / Intermediate"
2022,MI,78526,"United Kingdom","Mid-level / Intermediate"
2022,MI,39263,"United Kingdom","Mid-level / Intermediate"
2022,MI,65438,"United Kingdom","Mid-level / Intermediate"
2022,EN,52351,"United Kingdom","Entry-level / Junior"
2022,SE,104702,"United Kingdom","Senior-level / Expert"
2022,SE,117789,"United Kingdom","Senior-level / Expert"
2021,SE,96282,"United Kingdom","Senior-level / Expert"
2021,MI,72212,"United Kingdom","Mid-level / Intermediate"
2021,MI,56256,"United Kingdom","Mid-level / Intermediate"
2021,MI,116914,"United Kingdom","Mid-level / Intermediate"
2021,MI,66022,"United Kingdom","Mid-level / Intermediate"
2021,SE,76833,"United Kingdom","Senior-level / Expert"
2021,SE,50000,"United Kingdom","Senior-level / Expert"
2021,SE,61896,"United Kingdom","Senior-level / Expert"
2021,MI,82528,"United Kingdom","Mid-level / Intermediate"
2021,EN,110037,"United Kingdom","Entry-level / Junior"
2021,SE,103160,"United Kingdom","Senior-level / Expert"
2021,SE,113476,"United Kingdom","Senior-level / Expert"
2021,MI,51519,"United Kingdom","Mid-level / Intermediate"
2021,EN,82528,"United Kingdom","Entry-level / Junior"
2020,MI,76958,"United Kingdom","Mid-level / Intermediate"
2020,MI,112872,"United Kingdom","Mid-level / Intermediate"
2020,SE,114047,"United Kingdom","Senior-level / Expert"
2020,SE,109024,"United Kingdom","Senior-level / Expert"
2022,MI,200000,"United States","Mid-level / Intermediate"
2022,SE,150000,"United States","Senior-level / Expert"
2022,SE,129000,"United States","Senior-level / Expert"
2022,SE,126000,"United States","Senior-level / Expert"
2022,SE,154000,"United States","Senior-level / Expert"
2022,MI,130000,"United States","Mid-level / Intermediate"
2022,MI,160000,"United States","Mid-level / Intermediate"
2022,SE,170000,"United States","Senior-level / Expert"
2022,SE,210000,"United States","Senior-level / Expert"
2022,SE,109280,"United States","Senior-level / Expert"
2022,SE,150260,"United States","Senior-level / Expert"
2022,SE,150000,"United States","Senior-level / Expert"
2022,SE,230000,"United States","Senior-level / Expert"
2022,SE,144854,"United States","Senior-level / Expert"
2022,SE,192564,"United States","Senior-level / Expert"
2022,SE,60000,"United States","Senior-level / Expert"
2022,SE,99000,"United States","Senior-level / Expert"
2022,SE,140000,"United States","Senior-level / Expert"
2022,SE,110925,"United States","Senior-level / Expert"
2022,SE,105000,"United States","Senior-level / Expert"
2022,SE,160080,"United States","Senior-level / Expert"
2022,SE,220110,"United States","Senior-level / Expert"
2022,SE,106260,"United States","Senior-level / Expert"
2022,SE,126500,"United States","Senior-level / Expert"
2022,SE,25000,"United States","Senior-level / Expert"
2022,SE,100000,"United States","Senior-level / Expert"
2022,SE,150075,"United States","Senior-level / Expert"
2022,SE,210000,"United States","Senior-level / Expert"
2022,SE,140000,"United States","Senior-level / Expert"
2022,SE,210000,"United States","Senior-level / Expert"
2022,SE,69000,"United States","Senior-level / Expert"
2022,SE,100000,"United States","Senior-level / Expert"
2022,SE,140000,"United States","Senior-level / Expert"
2022,SE,210000,"United States","Senior-level / Expert"
2022,SE,140000,"United States","Senior-level / Expert"
2022,SE,80000,"United States","Senior-level / Expert"
2022,SE,170000,"United States","Senior-level / Expert"
2022,SE,54000,"United States","Senior-level / Expert"
2022,SE,116150,"United States","Senior-level / Expert"
2022,SE,140250,"United States","Senior-level / Expert"
2022,SE,175100,"United States","Senior-level / Expert"
2022,SE,184700,"United States","Senior-level / Expert"
2022,SE,205300,"United States","Senior-level / Expert"
2022,SE,140400,"United States","Senior-level / Expert"
2022,SE,205300,"United States","Senior-level / Expert"
2022,SE,70500,"United States","Senior-level / Expert"
2022,SE,145000,"United States","Senior-level / Expert"
2022,SE,160000,"United States","Senior-level / Expert"
2022,SE,200100,"United States","Senior-level / Expert"
2022,SE,144000,"United States","Senior-level / Expert"
2022,SE,176000,"United States","Senior-level / Expert"
2022,SE,140400,"United States","Senior-level / Expert"
2022,SE,205300,"United States","Senior-level / Expert"
2022,SE,160000,"United States","Senior-level / Expert"
2022,SE,99050,"United States","Senior-level / Expert"
2022,SE,130000,"United States","Senior-level / Expert"
2022,SE,110500,"United States","Senior-level / Expert"
2022,SE,115000,"United States","Senior-level / Expert"
2022,SE,130000,"United States","Senior-level / Expert"
2022,MI,99100,"United States","Mid-level / Intermediate"
2022,MI,206699,"United States","Mid-level / Intermediate"
2022,SE,81666,"United States","Senior-level / Expert"
2022,SE,115934,"United States","Senior-level / Expert"
2022,MI,102100,"United States","Mid-level / Intermediate"
2022,MI,141300,"United States","Mid-level / Intermediate"
2022,SE,155000,"United States","Senior-level / Expert"
2022,SE,112900,"United States","Senior-level / Expert"
2022,SE,213120,"United States","Senior-level / Expert"
2022,SE,266400,"United States","Senior-level / Expert"
2022,SE,192600,"United States","Senior-level / Expert"
2022,SE,214000,"United States","Senior-level / Expert"
2022,SE,90320,"United States","Senior-level / Expert"
2022,SE,100000,"United States","Senior-level / Expert"
2022,SE,135000,"United States","Senior-level / Expert"
2022,MI,78000,"United States","Mid-level / Intermediate"
2022,SE,177000,"United States","Senior-level / Expert"
2022,MI,135000,"United States","Mid-level / Intermediate"
2022,SE,405000,"United States","Senior-level / Expert"
2022,SE,380000,"United States","Senior-level / Expert"
2022,SE,152500,"United States","Senior-level / Expert"
2022,MI,48000,"United States","Mid-level / Intermediate"
2022,EN,65000,"United States","Entry-level / Junior"
2022,MI,157000,"United States","Mid-level / Intermediate"
2022,EN,120000,"United States","Entry-level / Junior"
2022,MI,75000,"United States","Mid-level / Intermediate"
2022,SE,115000,"United States","Senior-level / Expert"
2022,SE,165000,"United States","Senior-level / Expert"
2022,MI,153000,"United States","Mid-level / Intermediate"
2022,SE,100000,"United States","Senior-level / Expert"
2022,SE,200000,"United States","Senior-level / Expert"
2022,MI,100000,"United States","Mid-level / Intermediate"
2022,SE,230000,"United States","Senior-level / Expert"
2022,SE,120000,"United States","Senior-level / Expert"
2022,SE,210000,"United States","Senior-level / Expert"
2022,EX,216000,"United States","Executive-level / Director"
2022,EX,324000,"United States","Executive-level / Director"
2022,MI,120000,"United States","Mid-level / Intermediate"
2022,MI,200000,"United States","Mid-level / Intermediate"
2022,SE,220000,"United States","Senior-level / Expert"
2022,SE,185100,"United States","Senior-level / Expert"
2022,SE,140000,"United States","Senior-level / Expert"
2022,SE,220000,"United States","Senior-level / Expert"
2022,MI,50000,"United States","Mid-level / Intermediate"
2022,MI,135000,"United States","Mid-level / Intermediate"
2022,SE,140000,"United States","Senior-level / Expert"
2022,SE,100000,"United States","Senior-level / Expert"
2022,SE,104890,"United States","Senior-level / Expert"
2022,SE,144000,"United States","Senior-level / Expert"
2022,EN,120000,"United States","Entry-level / Junior"
2022,EN,100000,"United States","Entry-level / Junior"
2022,SE,105000,"United States","Senior-level / Expert"
2022,MI,37236,"United States","Mid-level / Intermediate"
2022,EN,125000,"United States","Entry-level / Junior"
2022,MI,120000,"United States","Mid-level / Intermediate"
2022,SE,80000,"United States","Senior-level / Expert"
2022,SE,180000,"United States","Senior-level / Expert"
2022,SE,154600,"United States","Senior-level / Expert"
2022,SE,209100,"United States","Senior-level / Expert"
2022,SE,215300,"United States","Senior-level / Expert"
2022,SE,164996,"United States","Senior-level / Expert"
2022,SE,189650,"United States","Senior-level / Expert"
2022,SE,140400,"United States","Senior-level / Expert"
2022,SE,100800,"United States","Senior-level / Expert"
2022,MI,82900,"United States","Mid-level / Intermediate"
2022,SE,80000,"United States","Senior-level / Expert"
2022,SE,180000,"United States","Senior-level / Expert"
2022,MI,159000,"United States","Mid-level / Intermediate"
2022,MI,241000,"United States","Mid-level / Intermediate"
2022,MI,112300,"United States","Mid-level / Intermediate"
2022,MI,160000,"United States","Mid-level / Intermediate"
2022,MI,63900,"United States","Mid-level / Intermediate"
2022,SE,260000,"United States","Senior-level / Expert"
2022,SE,180000,"United States","Senior-level / Expert"
2022,SE,183600,"United States","Senior-level / Expert"
2022,MI,58000,"United States","Mid-level / Intermediate"
2022,SE,175000,"United States","Senior-level / Expert"
2022,SE,81666,"United States","Senior-level / Expert"
2022,SE,115934,"United States","Senior-level / Expert"
2022,SE,154600,"United States","Senior-level / Expert"
2022,SE,209100,"United States","Senior-level / Expert"
2022,SE,158200,"United States","Senior-level / Expert"
2022,SE,215300,"United States","Senior-level / Expert"
2022,SE,105400,"United States","Senior-level / Expert"
2022,SE,145000,"United States","Senior-level / Expert"
2022,SE,90320,"United States","Senior-level / Expert"
2022,SE,112900,"United States","Senior-level / Expert"
2022,MI,120000,"United States","Mid-level / Intermediate"
2022,SE,155000,"United States","Senior-level / Expert"
2022,SE,164000,"United States","Senior-level / Expert"
2022,SE,132320,"United States","Senior-level / Expert"
2022,SE,93700,"United States","Senior-level / Expert"
2022,SE,128875,"United States","Senior-level / Expert"
2022,SE,101570,"United States","Senior-level / Expert"
2022,SE,136994,"United States","Senior-level / Expert"
2022,SE,147800,"United States","Senior-level / Expert"
2022,SE,208775,"United States","Senior-level / Expert"
2022,SE,165400,"United States","Senior-level / Expert"
2022,SE,132000,"United States","Senior-level / Expert"
2022,SE,164996,"United States","Senior-level / Expert"
2022,SE,189650,"United States","Senior-level / Expert"
2022,SE,123000,"United States","Senior-level / Expert"
2022,SE,170000,"United States","Senior-level / Expert"
2022,EX,135000,"United States","Executive-level / Director"
2022,MI,58000,"United States","Mid-level / Intermediate"
2022,SE,136000,"United States","Senior-level / Expert"
2022,SE,138600,"United States","Senior-level / Expert"
2022,SE,160000,"United States","Senior-level / Expert"
2022,SE,211500,"United States","Senior-level / Expert"
2022,SE,150000,"United States","Senior-level / Expert"
2022,SE,123000,"United States","Senior-level / Expert"
2022,SE,167000,"United States","Senior-level / Expert"
2022,SE,137141,"United States","Senior-level / Expert"
2022,SE,161342,"United States","Senior-level / Expert"
2022,SE,135000,"United States","Senior-level / Expert"
2022,SE,113000,"United States","Senior-level / Expert"
2022,SE,95550,"United States","Senior-level / Expert"
2022,SE,108800,"United States","Senior-level / Expert"
2022,SE,156600,"United States","Senior-level / Expert"
2022,EX,175000,"United States","Executive-level / Director"
2022,EX,167875,"United States","Executive-level / Director"
2022,EX,224000,"United States","Executive-level / Director"
2022,SE,93700,"United States","Senior-level / Expert"
2022,SE,128875,"United States","Senior-level / Expert"
2022,SE,109280,"United States","Senior-level / Expert"
2022,SE,136600,"United States","Senior-level / Expert"
2022,SE,243900,"United States","Senior-level / Expert"
2022,MI,167000,"United States","Mid-level / Intermediate"
2022,SE,132320,"United States","Senior-level / Expert"
2022,SE,165400,"United States","Senior-level / Expert"
2022,SE,90320,"United States","Senior-level / Expert"
2022,SE,112900,"United States","Senior-level / Expert"
2022,SE,90320,"United States","Senior-level / Expert"
2022,SE,112900,"United States","Senior-level / Expert"
2022,MI,115500,"United States","Mid-level / Intermediate"
2022,SE,170000,"United States","Senior-level / Expert"
2022,EX,110000,"United States","Executive-level / Director"
2022,EX,130000,"United States","Executive-level / Director"
2022,SE,124190,"United States","Senior-level / Expert"
2022,SE,120000,"United States","Senior-level / Expert"
2022,SE,180000,"United States","Senior-level / Expert"
2022,SE,160080,"United States","Senior-level / Expert"
2022,SE,220110,"United States","Senior-level / Expert"
2022,SE,132320,"United States","Senior-level / Expert"
2022,SE,181940,"United States","Senior-level / Expert"
2022,SE,90320,"United States","Senior-level / Expert"
2022,SE,120160,"United States","Senior-level / Expert"
2022,SE,165220,"United States","Senior-level / Expert"
2022,EX,200000,"United States","Executive-level / Director"
2022,EX,242000,"United States","Executive-level / Director"
2022,MI,126500,"United States","Mid-level / Intermediate"
2022,MI,106260,"United States","Mid-level / Intermediate"
2022,SE,116000,"United States","Senior-level / Expert"
2022,SE,99000,"United States","Senior-level / Expert"
2022,SE,123000,"United States","Senior-level / Expert"
2022,SE,146000,"United States","Senior-level / Expert"
2022,SE,99360,"United States","Senior-level / Expert"
2022,SE,136620,"United States","Senior-level / Expert"
2022,SE,84900,"United States","Senior-level / Expert"
2022,SE,102100,"United States","Senior-level / Expert"
2022,MI,150000,"United States","Mid-level / Intermediate"
2022,MI,170000,"United States","Mid-level / Intermediate"
2022,MI,90000,"United States","Mid-level / Intermediate"
2022,MI,130000,"United States","Mid-level / Intermediate"
2022,SE,120600,"United States","Senior-level / Expert"
2022,SE,155000,"United States","Senior-level / Expert"
2022,SE,135000,"United States","Senior-level / Expert"
2021,MI,109000,"United States","Mid-level / Intermediate"
2021,SE,105000,"United States","Senior-level / Expert"
2021,MI,112000,"United States","Mid-level / Intermediate"
2021,EN,58000,"United States","Entry-level / Junior"
2021,EN,100000,"United States","Entry-level / Junior"
2021,EN,72500,"United States","Entry-level / Junior"
2021,MI,111775,"United States","Mid-level / Intermediate"
2021,MI,93150,"United States","Mid-level / Intermediate"
2021,SE,160000,"United States","Senior-level / Expert"
2021,MI,130000,"United States","Mid-level / Intermediate"
2021,SE,185000,"United States","Senior-level / Expert"
2021,MI,200000,"United States","Mid-level / Intermediate"
2021,MI,93000,"United States","Mid-level / Intermediate"
2021,EX,600000,"United States","Executive-level / Director"
2021,EN,90000,"United States","Entry-level / Junior"
2021,MI,115000,"United States","Mid-level / Intermediate"
2021,SE,170000,"United States","Senior-level / Expert"
2021,SE,165000,"United States","Senior-level / Expert"
2021,MI,110000,"United States","Mid-level / Intermediate"
2021,MI,80000,"United States","Mid-level / Intermediate"
2021,MI,110000,"United States","Mid-level / Intermediate"
2021,MI,180000,"United States","Mid-level / Intermediate"
2021,SE,200000,"United States","Senior-level / Expert"
2021,SE,200000,"United States","Senior-level / Expert"
2021,SE,256000,"United States","Senior-level / Expert"
2021,SE,135000,"United States","Senior-level / Expert"
2021,EX,416000,"United States","Executive-level / Director"
2021,SE,140000,"United States","Senior-level / Expert"
2021,SE,185000,"United States","Senior-level / Expert"
2021,SE,120000,"United States","Senior-level / Expert"
2021,MI,20000,"United States","Mid-level / Intermediate"
2021,SE,165000,"United States","Senior-level / Expert"
2021,SE,200000,"United States","Senior-level / Expert"
2021,MI,160000,"United States","Mid-level / Intermediate"
2021,SE,50000,"United States","Senior-level / Expert"
2021,SE,195000,"United States","Senior-level / Expert"
2021,EN,90000,"United States","Entry-level / Junior"
2021,SE,54094,"United States","Senior-level / Expert"
2021,MI,147000,"United States","Mid-level / Intermediate"
2021,SE,174000,"United States","Senior-level / Expert"
2021,MI,26005,"United States","Mid-level / Intermediate"
2021,MI,5679,"United States","Mid-level / Intermediate"
2021,EN,81000,"United States","Entry-level / Junior"
2021,SE,174000,"United States","Senior-level / Expert"
2021,SE,235000,"United States","Senior-level / Expert"
2021,EN,60000,"United States","Entry-level / Junior"
2021,MI,170000,"United States","Mid-level / Intermediate"
2021,MI,150000,"United States","Mid-level / Intermediate"
2021,EN,55000,"United States","Entry-level / Junior"
2021,EX,250000,"United States","Executive-level / Director"
2021,EN,80000,"United States","Entry-level / Junior"
2021,SE,165000,"United States","Senior-level / Expert"
2021,EN,125000,"United States","Entry-level / Junior"
2021,SE,120000,"United States","Senior-level / Expert"
2021,MI,423000,"United States","Mid-level / Intermediate"
2021,SE,144000,"United States","Senior-level / Expert"
2021,MI,150000,"United States","Mid-level / Intermediate"
2021,SE,160000,"United States","Senior-level / Expert"
2021,SE,153000,"United States","Senior-level / Expert"
2021,MI,90000,"United States","Mid-level / Intermediate"
2021,MI,100000,"United States","Mid-level / Intermediate"
2021,MI,82500,"United States","Mid-level / Intermediate"
2021,SE,150000,"United States","Senior-level / Expert"
2021,SE,240000,"United States","Senior-level / Expert"
2021,MI,135000,"United States","Mid-level / Intermediate"
2021,EN,80000,"United States","Entry-level / Junior"
2021,SE,220000,"United States","Senior-level / Expert"
2021,MI,90000,"United States","Mid-level / Intermediate"
2021,EN,100000,"United States","Entry-level / Junior"
2021,MI,38400,"United States","Mid-level / Intermediate"
2021,SE,120000,"United States","Senior-level / Expert"
2021,MI,151000,"United States","Mid-level / Intermediate"
